Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
17:58:59,52.1,71.6,53.2,71.1,52.2,71.6,52.5,71.6,53.7,71.2,53.6,71.4,52.4,71.2,52.4,71.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:05,52.5,71.1,53.2,71.1,52.1,71.4,52.1,71.4,53.7,71.2,53.7,71.2,52.3,71.2,52.5,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:05,52.5,71.1,53.2,71.1,52.1,71.4,52.1,71.4,53.7,71.2,53.7,71.2,52.3,71.2,52.5,71.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:07,52.5,71.1,53.2,71.1,52.1,71.4,52.1,71.4,53.7,71.2,53.7,71.2,52.3,71.2,52.5,71.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:19,52.5,71.1,53.2,71.1,52.1,71.4,52.1,71.4,53.7,71.2,53.7,71.2,52.3,71.2,52.5,71.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:37,52.5,70.9,53.2,71.1,52.1,71.4,52.1,71.4,53.7,71.2,53.8,71.4,52.3,71.2,52.4,71.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:39,52.5,70.9,53.2,71.1,52.1,71.4,52.1,71.4,53.7,71.2,53.8,71.4,52.3,71.2,52.4,71.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:56,52.5,70.9,53.2,71.1,52.1,71.4,52.1,71.4,53.7,71.2,53.8,71.4,52.3,71.2,52.4,71.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:59,52.4,71.1,53.1,71.1,52.0,71.4,52.1,71.2,53.7,71.2,53.7,71.2,52.3,71.2,52.4,71.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:01,52.4,71.1,53.1,71.1,52.0,71.4,52.1,71.2,53.7,71.2,53.7,71.2,52.3,71.2,52.4,71.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:11,52.4,71.1,53.1,71.1,52.0,71.4,52.1,71.2,53.7,71.2,53.7,71.2,52.3,71.2,52.4,71.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:00:13,52.4,71.1,53.1,71.1,52.0,71.4,52.1,71.2,53.7,71.2,53.7,71.2,52.3,71.2,52.4,71.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:14,52.4,71.1,53.1,71.1,52.0,71.4,52.1,71.2,53.7,71.2,53.7,71.2,52.3,71.2,52.4,71.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:23,52.4,70.9,53.1,71.1,51.9,71.4,52.1,71.4,53.7,71.2,53.8,71.2,52.2,71.2,52.2,71.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:33,52.4,70.9,53.1,71.1,51.9,71.4,52.1,71.4,53.7,71.2,53.8,71.2,52.2,71.2,52.2,71.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18:00:34,52.4,71.1,53.0,71.1,51.9,71.4,52.0,71.2,53.7,71.4,53.7,71.2,52.2,71.2,52.2,71.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18:00:36,52.4,71.1,53.0,71.1,51.9,71.4,52.0,71.2,53.7,71.4,53.7,71.2,52.2,71.2,52.2,71.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:53,52.4,71.1,53.0,71.1,51.9,71.4,52.0,71.2,53.7,71.4,53.7,71.2,52.2,71.2,52.2,71.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18:01:16,52.5,70.9,53.0,71.1,51.9,71.4,52.0,71.4,53.6,71.2,53.8,71.2,52.2,71.2,52.2,71.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18:01:18,52.5,70.9,53.0,71.1,51.9,71.4,52.0,71.4,53.6,71.2,53.8,71.2,52.2,71.2,52.2,71.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:01:30,52.4,70.9,53.0,71.1,51.8,71.4,51.9,71.4,53.6,71.2,53.7,71.2,52.1,71.2,52.2,71.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:01:38,52.4,70.9,53.0,71.1,51.8,71.4,51.9,71.4,53.6,71.2,53.7,71.2,52.1,71.2,52.2,71.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:01:42,52.4,70.9,53.0,71.1,51.8,71.4,52.0,71.4,53.6,71.2,53.7,71.2,52.1,71.2,52.3,71.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:01:52,52.4,70.9,53.0,71.1,51.8,71.4,52.0,71.4,53.6,71.2,53.7,71.2,52.1,71.2,52.3,71.4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:02:03,52.4,70.9,53.0,71.1,51.8,71.4,52.0,71.4,53.6,71.2,53.7,71.2,52.1,71.2,52.3,71.4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:02:12,52.5,70.7,53.0,71.1,51.8,71.4,51.9,71.4,53.6,71.2,53.8,71.2,52.1,71.2,52.3,71.6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:02:25,52.5,70.7,53.0,71.1,51.8,71.4,51.9,71.4,53.6,71.2,53.8,71.2,52.1,71.2,52.3,71.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:02:32,52.5,70.7,53.0,71.1,51.7,71.4,51.9,71.2,53.6,71.2,53.7,71.1,52.1,71.2,52.1,71.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:02:34,52.5,70.7,53.0,71.1,51.7,71.4,51.9,71.2,53.6,71.2,53.7,71.1,52.1,71.2,52.1,71.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:02:44,52.5,70.7,53.0,71.1,51.7,71.4,51.9,71.2,53.6,71.2,53.7,71.1,52.1,71.2,52.1,71.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18:02:46,52.5,70.7,53.0,71.1,51.7,71.4,51.9,71.2,53.6,71.2,53.7,71.1,52.1,71.2,52.1,71.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:02:48,52.5,70.7,53.0,71.1,51.7,71.4,51.9,71.2,53.6,71.2,53.7,71.1,52.1,71.2,52.1,71.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:02:50,52.5,70.7,53.0,71.1,51.7,71.4,51.9,71.2,53.6,71.2,53.7,71.1,52.1,71.2,52.1,71.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:02:52,52.5,70.8,53.0,70.9,51.8,71.4,51.9,71.2,53.6,71.2,53.8,71.2,52.1,71.2,52.1,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:03:02,52.4,70.8,53.0,70.9,51.8,71.4,51.9,71.2,53.6,71.2,53.8,71.2,52.1,71.2,52.1,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:03:19,52.4,70.9,53.0,70.9,51.7,71.4,51.9,71.2,53.5,71.2,53.7,71.2,52.1,71.2,52.1,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:03:22,52.6,71.1,53.1,71.1,51.7,71.4,51.9,71.2,53.6,71.2,53.9,71.1,52.0,71.2,52.0,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:03:34,52.6,71.1,53.1,71.1,51.7,71.4,51.9,71.2,53.6,71.2,53.9,71.1,52.0,71.2,52.0,71.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:03:52,52.6,71.1,53.1,71.1,51.6,71.4,51.9,71.2,53.6,71.2,53.9,71.2,52.1,71.2,52.1,71.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:04:04,52.6,71.1,53.1,71.1,51.6,71.4,51.9,71.2,53.6,71.2,53.9,71.2,52.1,71.2,52.1,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:04:16,52.4,71.4,53.1,71.1,51.7,71.4,51.9,71.2,53.6,71.2,53.8,71.2,52.2,71.2,52.2,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:04:22,52.1,71.6,53.2,71.1,51.7,71.4,51.9,71.2,53.7,71.2,53.8,71.2,52.2,71.2,52.2,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:04:44,52.1,71.6,53.3,71.1,51.8,71.4,51.9,71.2,53.7,71.2,53.8,71.2,52.2,71.2,52.2,71.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:04:52,52.1,71.6,53.4,71.1,51.8,71.4,52.2,71.2,53.7,71.2,53.9,71.2,52.2,71.2,52.2,71.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:05:06,52.1,71.6,53.4,71.1,51.8,71.4,52.2,71.2,53.7,71.2,53.9,71.2,52.2,71.2,52.2,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:05:22,52.0,72.0,53.6,71.1,51.9,71.4,52.4,71.2,54.0,71.2,53.9,71.2,52.3,71.4,52.3,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:05:26,52.0,72.0,53.6,71.1,51.9,71.4,52.4,71.2,54.0,71.2,53.9,71.2,52.3,71.4,52.3,71.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:05:52,52.0,72.0,53.5,71.1,52.0,71.4,52.4,71.2,54.0,71.2,53.9,71.4,52.2,71.4,52.3,71.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:05:53,52.0,72.0,53.5,71.1,52.0,71.4,52.4,71.2,54.0,71.2,53.9,71.4,52.2,71.4,52.3,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:06:11,51.9,72.3,53.6,71.1,52.0,71.4,52.6,71.2,53.9,71.2,53.9,71.4,52.2,71.4,52.5,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:06:22,51.9,72.5,53.9,71.2,52.1,71.4,52.7,71.4,54.2,71.2,54.0,71.4,52.2,71.6,52.5,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:06:30,51.9,72.5,53.9,71.2,52.1,71.4,52.7,71.4,54.2,71.2,54.0,71.4,52.2,71.6,52.5,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:06:52,51.9,72.5,53.9,71.2,52.3,71.4,52.9,71.2,54.2,71.3,53.9,71.4,52.2,71.6,52.6,71.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:06:55,51.9,72.5,53.9,71.2,52.3,71.4,52.9,71.2,54.1,71.3,53.9,71.4,52.2,71.6,52.6,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:07:18,51.8,72.7,53.9,71.2,52.3,71.4,53.0,71.2,54.1,71.4,54.0,71.4,52.2,71.6,52.7,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:07:22,51.8,72.9,54.2,71.4,52.3,71.4,53.2,71.2,54.3,71.4,53.9,71.4,52.2,71.8,52.7,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:07:32,51.8,72.9,54.2,71.4,52.3,71.4,53.2,71.2,54.3,71.4,53.9,71.4,52.2,71.8,52.7,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:07:52,51.7,72.9,54.1,71.4,52.4,71.4,53.3,71.4,54.2,71.4,53.9,71.6,52.2,72.0,52.8,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:08:00,51.7,72.9,54.1,71.4,52.4,71.4,53.3,71.4,54.2,71.4,53.9,71.6,52.2,72.0,52.8,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:08:14,51.8,73.2,54.5,71.4,52.5,71.4,53.6,71.4,54.2,71.6,53.9,71.8,52.2,72.0,52.9,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:08:22,51.5,73.4,54.5,71.6,52.6,71.4,53.6,71.4,54.5,71.6,53.9,71.8,52.2,72.0,53.1,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:08:44,51.5,73.4,54.5,71.6,52.6,71.4,53.6,71.4,54.5,71.6,53.9,71.8,52.2,72.0,53.1,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:08:52,51.5,73.5,54.5,71.6,52.8,71.6,53.9,71.4,54.5,71.6,53.9,71.8,52.2,72.1,53.2,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:09:04,51.4,73.7,54.5,71.6,52.8,71.6,53.9,71.4,54.5,71.6,53.9,71.8,52.2,72.1,53.2,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:09:22,51.4,73.8,54.6,71.6,52.8,71.6,53.9,71.4,54.5,71.6,53.9,72.0,52.2,72.1,53.2,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:09:37,51.4,73.8,54.6,71.6,52.8,71.6,53.9,71.4,54.5,71.6,53.9,72.0,52.1,72.1,53.2,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:09:51,51.3,73.9,54.8,71.6,53.0,71.6,54.0,71.4,54.6,71.6,54.0,72.0,52.1,72.1,53.3,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:09:52,51.3,73.9,54.9,71.6,53.0,71.6,54.2,71.4,54.6,71.6,54.0,72.1,52.2,72.3,53.4,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:10:14,51.3,73.9,54.9,71.6,53.0,71.6,54.2,71.4,54.6,71.6,54.0,72.1,52.2,72.3,53.4,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:10:22,51.2,74.1,55.0,71.8,53.0,71.6,54.2,71.4,54.6,71.6,54.0,72.3,52.2,72.3,53.5,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:10:33,51.2,74.1,55.0,71.8,53.0,71.6,54.2,71.4,54.6,71.6,54.0,72.3,52.2,72.3,53.5,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:10:48,51.2,74.1,55.0,71.8,53.1,71.6,54.4,71.6,54.6,71.8,54.0,72.1,52.2,72.5,53.5,71.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:10:52,51.2,74.3,55.1,71.8,53.2,71.6,54.5,71.6,54.6,71.8,54.0,72.3,52.2,72.5,53.6,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:11:03,51.2,74.3,55.1,71.8,53.2,71.6,54.5,71.6,54.6,71.8,54.0,72.3,52.2,72.5,53.6,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:11:22,51.3,74.5,55.2,71.8,53.2,71.7,54.5,71.6,54.7,71.8,54.0,72.3,52.2,72.7,53.8,71.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:11:33,51.3,74.5,55.2,71.8,53.3,71.7,54.5,71.6,54.7,71.8,54.0,72.3,52.2,72.7,53.8,71.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:11:52,51.0,74.7,55.4,72.0,53.3,71.8,54.5,71.6,54.8,72.0,54.0,72.3,52.2,72.7,53.8,71.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:11:53,51.0,74.7,55.4,72.0,53.3,71.8,54.5,71.6,54.8,72.0,54.0,72.3,52.2,72.7,53.8,71.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
